emp_length,state,homeownership,debt_to_income,annual_income,open_credit_lines,total_credit_limit,total_credit_utilized,total_debit_limit,loan_amount,interest_rate,installment,grade,balance,paid_interest,income_group,loan_to_income,credit_utilization_rate,debt_burden
6,MA,RENT,27.83,44000.0,9,46299,30693,23100,14400,7.96,450.98,A,13326.53,273.1,Low,0.33,0.66,28.49
7,NY,OWN,15.26,130000.0,12,125441,54929,27000,19000,6.71,584.15,A,17558.24,321.32,High,0.15,0.44,15.7
1,CA,RENT,27.69,40000.0,17,71992,47552,7800,5000,7.34,155.17,A,4623.94,82.32,Low,0.12,0.66,28.35
2,TX,RENT,19.59,42000.0,7,77181,34982,21100,10000,5.31,301.11,A,9226.01,126.39,Low,0.24,0.45,20.04
2,CA,RENT,17.25,145000.0,12,96600,38897,26600,12000,5.31,361.33,A,11071.21,151.66,High,0.08,0.4,17.65
10,NC,MORTGAGE,12.36,205000.0,18,455099,90716,115000,40000,5.32,1204.6,A,36904.52,494.68,High,0.2,0.2,12.56
2,NV,MORTGAGE,22.98,75000.0,8,426006,30208,21000,9000,6.72,276.75,A,8086.97,190.61,High,0.12,0.07,23.05
10,TN,MORTGAGE,1.78,54000.0,4,139382,1840,10000,5000,7.35,155.19,A,4344.1,143.01,Low,0.09,0.01,1.79
0,NC,RENT,11.11,54000.0,7,27224,16500,7800,2000,6.72,61.5,A,1509.42,55.69,Low,0.04,0.61,11.72
2,FL,RENT,15.33,62000.0,17,151681,104187,53600,20575,7.96,644.37,A,19555.85,278.69,Low,0.33,0.69,16.02
10,CA,RENT,13.64,58000.0,5,40240,23016,1900,5000,7.34,155.17,A,0.0,72.89,Low,0.09,0.57,14.21
2,AZ,MORTGAGE,9.6,80000.0,5,293060,10662,12500,10000,7.34,310.33,A,9247.92,199.3,High,0.12,0.04,9.64
1,CA,RENT,8.54,53000.0,16,55768,6323,27500,10000,7.97,313.23,A,8749.42,277.94,Low,0.19,0.11,8.65
2,CA,OWN,19.64,50000.0,13,62786,9419,19200,3600,7.35,111.74,A,3146.02,101.78,Low,0.07,0.15,19.79
9,GA,MORTGAGE,11.91,92000.0,10,545193,48100,20700,35000,6.72,1076.23,A,30549.28,897.76,High,0.38,0.09,12.0
0,WA,MORTGAGE,17.29,118000.0,11,219423,77113,28000,40000,7.35,1241.5,A,35977.23,926.9,High,0.34,0.35,17.64
10,MD,MORTGAGE,15.16,108000.0,19,629894,71835,116000,35000,7.35,698.84,A,33044.26,811.04,High,0.32,0.11,15.27
10,WA,MORTGAGE,7.54,1050000.0,8,1794551,468948,88000,40000,6.72,1229.97,A,35943.71,833.72,High,0.04,0.26,7.8
10,NV,MORTGAGE,14.17,85000.0,15,415809,43024,40000,23000,6.72,452.4,A,21694.69,482.82,High,0.27,0.1,14.27
10,IL,MORTGAGE,5.9,93500.0,10,230800,13831,39000,22000,5.32,662.53,A,19724.94,358.8,High,0.24,0.06,5.96
10,CA,MORTGAGE,17.69,220000.0,11,357216,147555,66500,20400,6.08,621.35,A,17783.67,483.53,High,0.09,0.41,18.1
10,CA,MORTGAGE,20.53,225000.0,13,1009652,186301,11500,40000,5.31,1204.42,A,37940.61,337.65,High,0.18,0.18,20.71
10,MI,RENT,19.96,87000.0,9,108900,56226,25600,19000,6.72,584.24,A,17072.52,402.39,High,0.22,0.52,20.48
5,CA,RENT,21.53,34000.0,6,33038,21396,3200,3000,7.96,93.96,A,2776.34,56.89,Low,0.09,0.65,22.18
0,FL,RENT,9.65,72000.0,10,130126,93651,48100,12000,7.35,372.45,A,10793.17,278.07,High,0.17,0.72,10.37
8,FL,MORTGAGE,58.06,35000.0,10,294177,76821,24100,18000,7.96,563.73,A,17108.39,243.81,Low,0.51,0.26,58.32
10,PA,MORTGAGE,12.08,65000.0,6,226809,30877,7400,10000,6.72,307.5,A,8728.34,265.65,Low,0.15,0.14,12.22
6,AZ,MORTGAGE,13.2,59000.0,5,125014,21796,11800,7200,6.08,219.3,A,6276.59,170.66,Low,0.12,0.17,13.37
3,MO,OWN,3.56,30000.0,8,9840,4030,1000,20000,7.96,626.36,A,18509.07,379.31,Low,0.67,0.41,3.97
10,OK,MORTGAGE,36.19,160482.0,26,780142,192084,54900,12000,7.96,375.82,A,11105.43,227.58,High,0.07,0.25,36.44
8,NJ,MORTGAGE,20.16,75000.0,23,365595,30262,49600,15000,7.34,465.5,A,13871.88,262.26,High,0.2,0.08,20.24
10,CO,MORTGAGE,7.73,120000.0,10,617155,36296,60500,20000,6.07,609.08,A,18468.54,282.29,High,0.17,0.06,7.79
2,KS,OWN,23.16,40000.0,8,88949,85622,17000,18000,7.34,558.6,A,17100.26,210.12,Low,0.45,0.96,24.12
2,NY,RENT,26.69,42000.0,14,45390,27333,6800,9000,6.72,276.75,A,7855.5,235.89,Low,0.21,0.6,27.29
4,CA,RENT,20.44,54600.0,4,41342,12875,9600,13000,7.96,407.14,A,12030.87,229.3,Low,0.24,0.31,20.75
10,CA,MORTGAGE,18.19,95000.0,17,390506,58757,46600,10000,7.34,310.33,A,9247.93,174.84,High,0.11,0.15,18.34
3,AK,MORTGAGE,42.52,89000.0,14,414662,160925,84400,30000,7.35,931.13,A,26217.04,848.19,High,0.34,0.39,42.91
0,AZ,MORTGAGE,3.23,37500.0,3,211040,2529,6000,18000,7.34,558.6,A,16646.25,314.71,Low,0.48,0.01,3.24
10,NY,RENT,4.47,80000.0,15,66900,4141,57400,19200,6.08,584.8,A,16737.57,448.6,High,0.24,0.06,4.53
10,FL,MORTGAGE,20.7,72000.0,7,60651,40365,22800,25000,7.97,506.56,A,23274.64,796.37,High,0.35,0.67,21.37
0,MA,RENT,18.03,48000.0,5,26100,8583,5600,10000,7.97,313.23,A,8749.43,311.15,Low,0.21,0.33,18.36
5,TX,OWN,11.19,189000.0,17,599924,335417,82300,22000,7.35,682.83,A,19225.82,630.99,High,0.12,0.56,11.75
2,FL,RENT,30.9,44200.0,6,64167,40255,11800,10000,7.34,310.33,A,9247.92,187.07,Low,0.23,0.63,31.53
4,IN,OWN,1.64,38000.0,11,29300,1030,19400,18000,7.97,563.81,A,15599.0,560.08,Low,0.47,0.04,1.68
8,CA,OWN,22.1,110000.0,16,590365,109960,93424,24000,7.97,751.75,A,20998.65,746.77,High,0.22,0.19,22.29
10,CA,MORTGAGE,18.35,98000.0,15,437168,95641,49900,18000,6.08,548.25,A,16157.86,344.78,High,0.18,0.22,18.57
10,CA,MORTGAGE,9.53,130000.0,10,333400,21579,46900,14000,6.08,426.42,A,0.0,218.61,High,0.11,0.06,9.59
10,FL,MORTGAGE,18.58,110000.0,24,308178,38026,67700,25000,7.34,775.82,A,23119.84,437.11,High,0.23,0.12,18.7
2,CA,RENT,14.05,100000.0,8,59846,33396,16000,27000,7.96,845.59,A,24987.24,512.07,High,0.27,0.56,14.61
2,TX,RENT,17.8,79500.0,12,155991,115711,38300,12000,6.72,369.0,A,11090.2,192.72,High,0.15,0.74,18.54
10,KS,MORTGAGE,38.22,88000.0,8,199858,137832,14300,7300,6.08,222.35,A,6552.89,139.82,High,0.08,0.69,38.91
10,NY,RENT,5.44,250000.0,12,109785,35675,58500,40000,7.34,1241.32,A,38000.6,466.93,High,0.16,0.32,5.76
2,GA,MORTGAGE,5.62,430000.0,10,202701,104744,69000,12000,5.31,361.33,A,11071.21,148.12,High,0.03,0.52,6.14
0,CA,RENT,1.97,70000.0,3,45000,4812,42000,3000,6.08,91.38,A,2692.96,55.95,Low,0.04,0.11,2.08
10,SC,RENT,15.38,48000.0,6,33465,24690,7500,8500,7.96,266.21,A,7866.34,157.45,Low,0.18,0.74,16.12
2,OH,MORTGAGE,20.25,110000.0,16,323483,65269,32600,6000,7.35,186.23,A,5243.39,172.09,High,0.05,0.2,20.45
10,NY,RENT,15.23,42000.0,6,52441,51233,0,14500,7.96,454.11,A,13419.08,275.0,Low,0.35,0.98,16.21
8,WA,RENT,9.66,54000.0,8,80294,29439,50100,12000,6.07,365.45,A,11081.12,173.42,Low,0.22,0.37,10.03
10,CO,MORTGAGE,8.99,90000.0,14,350016,36926,26800,12000,6.71,368.94,A,11089.41,191.76,High,0.13,0.11,9.1
10,UT,MORTGAGE,7.04,75000.0,6,334116,15404,24200,10000,6.08,304.59,A,8717.45,237.02,High,0.13,0.05,7.09
10,WA,MORTGAGE,34.96,175000.0,24,814030,330655,220900,36000,5.32,1084.14,A,31336.13,746.19,High,0.21,0.41,35.37
10,AZ,MORTGAGE,13.22,156000.0,14,795502,75510,114100,40000,7.35,1241.5,A,35977.23,926.9,High,0.26,0.09,13.31
2,MA,MORTGAGE,15.66,87812.0,11,508144,49769,73500,35000,7.34,698.68,A,33537.3,619.07,High,0.4,0.1,15.76
4,CT,MORTGAGE,6.7,350000.0,13,561448,78874,44900,40000,7.97,1252.91,A,34997.78,1244.62,High,0.11,0.14,6.84
2,TX,MORTGAGE,15.31,70000.0,14,278923,33756,71700,24000,6.07,730.89,A,21543.48,450.85,Low,0.34,0.12,15.43
10,OR,RENT,7.37,160000.0,6,63266,43937,0,30000,7.35,931.13,A,27744.1,512.99,High,0.19,0.69,8.06
10,VA,RENT,4.31,42000.0,3,36000,6880,30000,21000,7.34,651.69,A,19420.66,367.17,Low,0.5,0.19,4.5
9,AZ,MORTGAGE,38.3,110000.0,15,386384,94425,18100,30000,7.96,939.54,A,27765.09,484.21,High,0.27,0.24,38.54
3,CA,RENT,6.31,58000.0,10,76600,7326,56100,20000,7.34,399.25,A,19164.16,353.75,Low,0.34,0.1,6.41
10,MN,MORTGAGE,17.68,104000.0,16,216477,45508,52600,39000,5.31,1174.31,A,35981.47,544.68,High,0.38,0.21,17.89
5,CA,RENT,13.0,53456.0,9,53373,44867,4500,19000,7.35,589.72,A,16604.1,544.94,Low,0.36,0.84,13.84
10,VA,MORTGAGE,204.13,12000.0,13,406818,86236,57300,29000,7.35,579.04,A,26968.19,839.71,Low,2.42,0.21,204.34
10,NV,MORTGAGE,13.98,95000.0,14,325783,60021,25500,40000,7.96,1252.72,A,37018.15,740.93,High,0.42,0.18,14.16
7,CA,RENT,8.51,166088.0,6,129010,49468,108800,25000,7.35,775.94,A,21847.54,717.03,High,0.15,0.38,8.89
4,VA,MORTGAGE,47.67,65000.0,12,172218,100661,43200,30000,7.34,930.99,A,28500.44,380.78,Low,0.46,0.58,48.25
10,NY,OWN,8.16,95543.0,11,340923,19323,44000,36000,6.08,1096.5,A,32315.72,689.56,High,0.38,0.06,8.22
10,CA,MORTGAGE,5.7,265000.0,16,819496,56832,42500,35000,7.35,698.84,A,33044.26,903.94,High,0.13,0.07,5.77
1,FL,MORTGAGE,7.5,120000.0,12,446752,23630,82100,18000,5.32,542.07,A,16138.59,301.55,High,0.15,0.05,7.55
2,FL,RENT,20.73,120000.0,13,159187,68568,78600,10000,6.72,307.5,A,8728.34,262.11,High,0.08,0.43,21.16
10,WA,RENT,12.5,128000.0,23,91800,51476,60400,40000,6.72,1229.97,A,34853.02,838.09,High,0.31,0.56,13.06
1,MO,MORTGAGE,6.06,113000.0,6,237948,16960,26800,20000,6.07,609.08,A,18981.6,193.02,High,0.18,0.07,6.13
3,OR,MORTGAGE,4.68,80000.0,7,394523,5002,10700,10000,7.97,313.23,A,9002.87,251.36,High,0.12,0.01,4.69
2,NY,MORTGAGE,9.95,200000.0,12,643718,44724,134900,15000,5.32,451.73,A,13056.7,310.92,High,0.08,0.07,10.02
10,MA,OWN,25.94,55523.24,6,63500,41797,54000,10000,7.34,310.33,A,9247.93,174.84,Low,0.18,0.66,26.6
10,WY,MORTGAGE,18.72,90000.0,9,479527,117620,45500,30000,7.34,598.87,A,28746.25,554.42,High,0.33,0.25,18.97
10,FL,RENT,29.67,41500.0,10,64775,21319,12400,9000,6.08,274.13,A,8078.91,169.35,Low,0.22,0.33,30.0
5,CA,RENT,7.07,56446.0,6,26470,8690,17300,2400,7.34,74.48,A,2219.5,41.96,Low,0.04,0.33,7.4
0,AR,MORTGAGE,10.32,68000.0,6,186869,51250,23000,11200,6.72,344.4,A,10063.78,237.2,Low,0.16,0.27,10.59
10,FL,RENT,2.83,130000.0,8,331197,169125,54500,40000,7.34,798.49,A,38328.35,707.51,High,0.31,0.51,3.34
1,CO,MORTGAGE,8.78,160000.0,11,787370,38820,35900,40000,7.97,1252.91,A,34997.78,1226.91,High,0.25,0.05,8.83
10,TX,MORTGAGE,14.54,60000.0,9,205329,17428,6700,20000,6.07,609.08,A,18468.54,289.04,Low,0.33,0.08,14.62
0,AZ,MORTGAGE,6.03,75000.0,5,203900,16674,36000,6500,7.35,201.75,A,5796.27,150.62,High,0.09,0.08,6.11
10,NV,RENT,31.72,60000.0,7,125899,85226,21700,11000,6.08,335.05,A,9589.19,260.72,Low,0.18,0.68,32.4
7,CA,MORTGAGE,6.12,150000.0,13,614727,41467,82700,16000,6.72,491.99,A,14376.87,338.86,High,0.11,0.07,6.19
10,GA,MORTGAGE,23.91,90000.0,13,305438,47197,39500,10000,7.97,313.23,A,8749.43,306.72,High,0.11,0.15,24.06
7,KY,OWN,22.06,100000.0,14,216800,41381,54800,7500,7.34,232.75,A,6935.94,131.13,High,0.08,0.19,22.25
4,VA,MORTGAGE,41.83,55000.0,23,382807,77981,31200,40000,7.34,1241.32,A,35726.63,560.21,Low,0.73,0.2,42.03
3,NV,MORTGAGE,18.31,55000.0,10,81878,30342,49800,10000,7.97,313.23,A,0.0,170.95,Low,0.18,0.37,18.68
2,PA,RENT,29.72,77500.0,12,113403,44305,48700,14000,7.34,434.46,A,12947.11,244.78,High,0.18,0.39,30.11
5,VA,RENT,11.86,59390.0,13,67237,67615,13200,9000,7.34,279.3,A,8550.13,101.39,Low,0.15,1.01,12.87
10,IN,MORTGAGE,15.94,86000.0,15,376430,16747,54500,18000,6.72,553.49,A,15711.06,465.07,High,0.21,0.04,15.98
3,PA,MORTGAGE,23.66,135000.0,14,251116,109072,96100,20000,5.32,602.3,A,17408.96,408.64,High,0.15,0.43,24.09
1,CA,RENT,10.78,300000.0,7,134757,66766,23800,28000,6.71,860.86,A,25875.28,447.42,High,0.09,0.5,11.28
10,IN,OWN,4.25,37000.0,7,19900,4154,12600,10000,6.72,307.5,A,8985.52,211.79,Low,0.27,0.21,4.46
0,TX,MORTGAGE,14.66,275000.0,23,603684,113274,178100,19000,7.35,379.37,A,17917.42,447.77,High,0.07,0.19,14.85
5,CO,RENT,1.52,20000.0,4,10800,477,10800,3500,7.35,108.64,A,3058.61,98.95,Low,0.18,0.04,1.56
5,FL,OWN,18.95,48000.0,16,81700,20890,37700,8000,7.35,248.3,A,6991.22,229.45,Low,0.17,0.26,19.21
3,NC,MORTGAGE,19.26,78000.0,12,124367,45796,17800,10000,7.96,313.18,A,9254.54,189.66,High,0.13,0.37,19.63
2,AL,MORTGAGE,13.41,23000.0,7,156400,5090,7000,10000,6.08,304.59,A,8976.56,191.54,Low,0.43,0.03,13.44
0,OH,MORTGAGE,8.78,31300.0,5,89487,8759,16000,4000,5.32,120.46,A,3586.35,67.01,Low,0.13,0.1,8.88
10,NE,MORTGAGE,19.25,375000.0,14,619318,191738,101000,30000,6.72,922.48,A,26956.63,618.55,High,0.08,0.31,19.56
5,WA,RENT,1.0,60000.0,2,2300,822,2300,6000,7.96,187.91,A,5702.8,73.31,Low,0.1,0.36,1.36
0,VA,RENT,0.86,70000.0,3,8500,262,7500,1000,7.97,31.33,A,900.26,24.69,Low,0.01,0.03,0.89
1,CA,MORTGAGE,8.52,500000.0,9,1529377,112880,48800,12950,7.35,401.94,A,0.0,182.84,High,0.03,0.07,8.59
5,PA,MORTGAGE,4.73,70000.0,4,172310,8232,16600,2500,6.72,76.88,A,2246.36,58.56,Low,0.04,0.05,4.78
10,NY,OWN,15.07,180000.0,6,643852,36099,15800,7200,7.34,223.44,A,6658.5,125.88,High,0.04,0.06,15.13
1,NJ,RENT,11.88,60000.0,8,86257,34602,41500,35000,6.07,1065.88,A,33217.83,325.98,Low,0.58,0.4,12.28
2,TX,RENT,26.01,55000.0,11,72705,36803,18600,8400,7.97,263.11,A,7349.54,261.37,Low,0.15,0.51,26.52
0,NY,RENT,28.84,58500.0,20,135302,76380,29600,7000,5.31,210.78,A,6458.19,86.4,Low,0.12,0.56,29.4
10,CA,RENT,6.86,60000.0,6,54175,6316,12100,20400,6.07,621.26,A,19361.23,248.47,Low,0.34,0.12,6.98
10,FL,RENT,24.76,48000.0,6,56435,41611,17300,11000,7.97,344.55,A,9624.39,342.27,Low,0.23,0.74,25.5
10,AL,OWN,18.74,60000.0,18,78385,33741,36000,10000,5.32,301.15,A,8704.48,207.27,Low,0.17,0.43,19.17
10,WA,RENT,16.71,72600.0,11,52246,28724,8300,3500,6.72,107.63,A,3054.89,98.27,High,0.05,0.55,17.26
7,UT,RENT,4.98,33000.0,8,51511,4663,41500,10000,6.07,304.54,A,8778.48,138.73,Low,0.3,0.09,5.07
10,NJ,RENT,10.24,101000.0,10,104660,32772,33300,21000,5.31,632.32,A,18828.06,351.14,High,0.21,0.31,10.55
10,CA,MORTGAGE,5.93,55000.0,6,228900,13452,11800,13000,7.35,403.49,A,12022.44,227.6,Low,0.24,0.06,5.99
1,WA,MORTGAGE,22.81,48000.0,22,357429,23366,26700,4000,6.07,121.82,A,3693.7,57.81,Low,0.08,0.07,22.88
10,CA,MORTGAGE,25.38,206000.0,28,603664,203490,47700,35000,7.97,1096.29,A,31510.1,879.76,High,0.17,0.34,25.72
10,WA,MORTGAGE,17.64,70000.0,5,251365,43258,17000,12000,7.96,375.82,A,11105.43,222.28,Low,0.17,0.17,17.81
9,IN,MORTGAGE,24.99,91000.0,23,307277,105205,60500,15000,7.35,465.57,A,12832.7,426.58,High,0.16,0.34,25.33
6,TX,MORTGAGE,23.56,60000.0,11,256054,71234,19100,2500,7.35,77.6,A,2184.72,71.7,Low,0.04,0.28,23.84
10,CA,MORTGAGE,7.6,60000.0,18,506509,14097,59300,2200,6.08,67.01,A,1917.92,52.97,Low,0.04,0.03,7.63
3,PA,MORTGAGE,16.51,92000.0,8,238600,36464,27200,12000,6.07,365.45,A,11081.12,173.42,High,0.13,0.15,16.66
10,NY,MORTGAGE,26.89,50000.0,10,157535,32399,38200,20000,6.07,609.08,A,18468.54,282.29,Low,0.4,0.21,27.1
10,CT,MORTGAGE,35.38,51800.0,12,126947,85074,26000,7000,7.97,219.26,A,6302.01,172.85,Low,0.14,0.67,36.05
4,MI,OWN,15.12,63000.0,9,60600,19702,39300,6000,6.71,184.47,A,5544.7,85.82,Low,0.1,0.33,15.45
